sample	notch60	hp_5Hz	ttm	lp35	thresh_2s_avg	thresh_2s_max	thresh	lock_count
2087	0.496422	0.00994387	0.00321397	0.0018622	0.002288	0.149294	0.149294	0
2136	0.496992	0.010424	0.00240229	0.00192028	0.00228992	0.149294	0.149294	0
2132	0.498006	0.0110745	0.0017529	0.00195776	0.00229188	0.149294	0.149294	0
2085	0.50077	0.0133226	0.00104311	0.00194031	0.00229382	0.149294	0.149294	0
2010	0.501172	0.0132675	0.000702839	0.00189303	0.00229571	0.149294	0.149294	0
1958	0.501473	0.0133264	0.000465625	0.00180619	0.00229752	0.149294	0.149294	0
1948	0.499244	0.0111215	0.000330651	0.00170927	0.00229923	0.149294	0.149294	0
1993	0.497578	0.00963044	0.000263506	0.00161295	0.00230084	0.149294	0.149294	0
2056	0.494397	0.00661057	0.000223107	0.00151552	0.00230236	0.149294	0.149294	0
2100	0.490922	0.00314012	0.000168982	0.00142027	0.00230378	0.149294	0.149294	0
2106	0.490252	0.00225607	5.91024e-05	0.00129443	0.00230507	0.149294	0.149294	0
2066	0.49147	0.00311878	5.3366e-05	0.00115268	0.00230622	0.149294	0.149294	0
1986	0.490059	0.00137991	9.39848e-05	0.000977229	0.0023072	0.149294	0.149294	0
1915	0.488152	0.000672817	0.000160018	0.000780959	0.00230798	0.149294	0.149294	0
1882	0.484431	0.00425974	8.11391e-05	0.000557185	0.00230854	0.149294	0.149294	0
1903	0.480471	0.00790015	2.94446e-05	0.000387696	0.00230893	0.149294	0.149294	0
1970	0.479194	0.00885138	5.15323e-06	0.000262857	0.00230919	0.149294	0.149294	0
2037	0.4789	0.00898051	4.22408e-07	0.00018838	0.00230938	0.149294	0.149294	0
2072	0.480804	0.00714341	2.83914e-07	0.000138197	0.00230952	0.149294	0.149294	0
2063	0.485463	0.00274894	1.53026e-07	0.000104949	0.00230962	0.149294	0.149294	0
2012	0.489547	0.00102094	1.52554e-06	8.14401e-05	0.0023097	0.149294	0.149294	0
1949	0.491426	0.00269625	1.78538e-07	6.2631e-05	0.00230977	0.149294	0.149294	0
1909	0.490369	0.0016385	6.68712e-08	4.66996e-05	0.00230981	0.149294	0.149294	0
1918	0.488088	0.000472456	4.01445e-08	3.46323e-05	0.00230985	0.149294	0.149294	0
1969	0.485375	0.00295514	1.70197e-06	3.05323e-05	0.00230988	0.149294	0.149294	0
2038	0.484612	0.00359365	1.85459e-05	2.80451e-05	0.00230991	0.149294	0.149294	0
2083	0.485074	0.00318965	3.20551e-05	2.36216e-05	0.00230993	0.149294	0.149294	0
2082	0.487058	0.00143659	5.69108e-05	1.62568e-05	0.00230995	0.149294	0.149294	0
2035	0.489289	0.000494689	4.42055e-05	1.36187e-05	0.00230996	0.149294	0.149294	0
1963	0.489464	0.000449747	5.28627e-06	1.18931e-05	0.00230997	0.149294	0.149294	0
1918	0.490605	0.00151259	2.41719e-07	1.15423e-05	0.00230998	0.149294	0.149294	0
1918	0.490477	0.00145409	1.54296e-06	1.16223e-05	0.00230999	0.149294	0.149294	0
1965	0.4897	0.000810623	6.85383e-07	1.1651e-05	0.00231001	0.149294	0.149294	0
2028	0.487479	0.00130701	6.96481e-07	1.16898e-05	0.00231002	0.149294	0.149294	0
2082	0.487319	0.00147337	2.19565e-06	1.17377e-05	0.00231003	0.149294	0.149294	0
2091	0.487643	0.00129268	5.2945e-06	1.21031e-05	0.00231004	0.149294	0.149294	0
2056	0.489644	0.000516087	7.14796e-06	1.26089e-05	0.00231005	0.149294	0.149294	0
1990	0.490701	0.00142166	2.22934e-10	1.2606e-05	0.00231007	0.149294	0.149294	0
1926	0.48959	0.000288695	4.24334e-08	1.24875e-05	0.00231008	0.149294	0.149294	0
1914	0.490583	0.00137502	8.5613e-07	1.12239e-05	0.00231009	0.149294	0.149294	0
1941	0.4884	0.000644416	7.53722e-07	8.98813e-06	0.0023101	0.149294	0.149294	0
2003	0.486952	0.00196609	2.62148e-07	4.9418e-06	0.0023101	0.149294	0.149294	0
